Harvey Patches,19.11667,72.78333
Haji Ali’s Tomb,18.9826,72.80897
Hājee Bandar,18.98333,72.85
Gan Carriage Bandar,18.91278,72.83083
Green Islet,19.24085,72.76659
Green Island,18.98333,72.88333
Mumbai Suburban,19.12636,72.84897
Grant Road,18.96667,72.8
Govind Devnār,19.05,72.91667
Gorai Rock,19.23333,72.8
Gorai,19.25,72.78333
Girij Hill,19.38333,72.78333
Girgaum,18.95,72.81667
Ghorapdeo,18.96667,72.83333
Ghatkopar Hill,19.1,72.9
Ghātkopar,19.08386,72.89969
Ghansoli,19.11667,72.98333
Fort George,18.93136,72.83834
Frere Basin,18.96028,72.84944
Fish Wharf,18.95778,72.85306
Elephanta Spit,18.98333,72.95
Elephanta Rock,18.95,72.91667
Elephanta Island,18.96237,72.93402
Dongri Point,19.30988,72.79284
Dongri,19.28497,72.80858
Dombivli,19.21667,73.08333
Dolphin Rock,18.91306,72.8375
Dive,19.18333,73.03333
Diva,19.13333,72.98333
Dhow Anchorage,18.96278,72.85361
Dharavi Island,19.25,72.8
Dhārāvi,19.05,72.86667
Devnār,19.05,72.91667
Dadar,19.01667,72.85
Cumballa Hill,18.96667,72.8
Cross Island Reef,18.94139,72.84806
Cross Island,18.94806,72.85176
Colāba Reef,18.91139,72.83222
Colāba,18.90694,72.81056
Coal Bandar,18.97444,72.85611
Clerk Basin,18.96222,72.85
Churchgate Street,18.93365,72.82743
Chinchpokli,18.98333,72.83333
Chinchavli,18.97375,73.3321
Chikaldongri,19.48045,72.78585
Chembar,19.03785,72.90872
Charni Road,18.9507,72.8179
Byculla,18.96667,72.8
Byculla,18.96667,72.83333
Butcher Island,18.96012,72.90339
Butcher Big Reef,18.96111,72.88778
Brick Bandar,18.97861,72.85389
Borivli,19.23496,72.85976
Bombay Island,19,72.83333
Bombay Harbour,18.93658,72.88957
Bombay Central,18.95,72.8
Mumbai,19.07283,72.88261
Bhiwandi,19.30023,73.05881
Bhivpuri Road,18.96903,73.33073
Bhayandar,19.30157,72.85107
Bhatsai River,19.28676,73.18024
Bhāndup,19.14265,72.93772
Bhāndup,19.15,72.93333
Bhandarwada Reservoir,18.95,72.83333
Bhandarwada Hill,18.96556,72.84444
Bere,19.38333,73.23333
Belapurpāda,19.01288,73.03065
Beggar’s Home,19.05,72.9
Bāvamalang Nadī,19.03853,73.08514
Bassein Creek,19.32338,72.84861
Baronda,19.45,72.85
Barancle Rock,18.95,72.93333
Bapsai,19.27465,73.26433
Bapane,19.36188,72.87965
Bandra Point,19.0425,72.81836
Bāndra,19.07715,72.86036
Ballard Pier,18.93056,72.84417
Ballard Estate,18.93596,72.83871
Badlapur,19.15516,73.26553
Back Bay,18.93222,72.80306
Avghada,19.2,72.93333
Atgaon,19.49944,73.33476
Asangaon,19.43866,73.30594
Arthur Bandar,18.91722,72.83333
Arnālapāda,19.45,72.75
Arnāla Island,19.46464,72.73149
Appollo Bandar,18.92111,72.83556
Andheri,19.13086,72.85258
Ambu Island,19.13404,72.78196
Amarnāth,19.20867,73.18533
Amarnāth,19.2,73.16667
Agāshi Bay,19.49129,72.75335
Agāshi,19.46082,72.7763
Bandra,19.06667,72.83333
Sheva Nhava,18.9635,72.96644
Ghārāpuri,18.9574,72.93327
Shot Bandar,18.96794,72.92883
Sonari,18.91035,72.98789
Oyster Rock,18.90232,72.82736
Chhatrapati Shivaji International Airport,19.08869,72.86792
IIT - Bombay,19.12741,72.91639
Kanjur Marg,19.12864,72.92818
Powai,19.1164,72.90471
Gateway of India,18.92188,72.83468
Malabar Point,18.93861,72.79472
Pilots Bandar,18.90139,72.81917
Hotel Midland,19.0792,72.8516
Renaissance Mumbai Hotel And Convention Center,19.1318,72.9005
Hotel Marine Plaza,18.9288,72.823
Taj President,18.9118,72.8196
Heritage,18.9935,72.8202
West End,18.9382,72.82814
Orchid - An Ecotel Hotel,19.0939,72.8532
Sahil,18.9855,72.8066
Ramada Palm Grove,19.1127,72.8083
Sun-N-Sand,19.1311,72.8016
Leela,19.05852,72.82251
Fariyas,18.9372,72.8177
Ambassador,18.951,72.8136
Eastern International,19.1287,72.8043
Orchid,19.1147,72.8299
Marine Plaza,18.9511,72.8119
The Oberoi Mumbai,18.9239,72.8193
Hilton Towers Mumbai,18.926,72.8208
Hotel Samrat,19.07054,72.83991
